"","CustomerID","recency","r_clus","frequency","f_clus","money_value","m_clus","score","value"
"39",12394,63,3,2,1,1322.28,1,5,"mid"
"40",12395,15,4,15,2,3710.56,1,7,"mid"
"41",12397,35,4,2,1,2788.57,1,6,"mid"
"42",12398,45,4,1,1,1867.38,1,6,"mid"
"43",12399,119,3,4,1,1482.18,1,5,"mid"
"44",12401,303,1,1,1,95.25,1,3,"low"
"45",12402,323,1,1,1,245.1,1,3,"low"
"46",12403,49,3,2,1,791.5,1,5,"mid"
"47",12405,148,2,1,1,1874.07,1,4,"low"
"48",12406,22,4,3,1,4851.95,1,6,"mid"
"49",12407,49,3,5,1,1785.04,1,5,"mid"
"50",12408,32,4,9,2,3921.18,1,7,"mid"
"51",12409,78,3,7,2,12803.26,2,7,"mid"
"52",12410,301,1,3,1,681.08,1,3,"low"
"53",12412,74,3,3,1,1544.12,1,5,"mid"
"54",12413,66,3,5,1,694.15,1,5,"mid"
"55",12414,217,2,3,1,780.81,1,4,"low"
"56",12415,24,4,26,3,169257.51,3,10,"high"
"57",12417,3,4,12,2,4195.73,1,7,"mid"
"58",12418,112,3,1,1,807.87,1,5,"mid"
"59",12420,63,3,1,1,775.08,1,5,"mid"
"60",12421,15,4,5,1,851.27,1,6,"mid"
"61",12422,95,3,3,1,1045.56,1,5,"mid"
"62",12423,0,4,9,2,2624.33,1,7,"mid"
"63",12424,162,2,2,1,2145.26,1,4,"low"
"64",12425,78,3,1,1,820.26,1,5,"mid"
"65",12426,194,2,1,1,678.73,1,4,"low"
"66",12427,11,4,5,1,1072.34,1,6,"mid"
"67",12428,25,4,12,2,8948.63,1,7,"mid"
"68",12429,9,4,4,1,4552.26,1,6,"mid"
"69",12430,43,4,1,1,267.8,1,6,"mid"
"70",12431,35,4,18,2,10674.37,1,7,"mid"
"71",12432,42,4,5,1,5462.92,1,6,"mid"
"72",12433,0,4,7,2,16690.68,2,8,"high"
"73",12434,84,3,4,1,984.46,1,5,"mid"
"74",12435,79,3,2,1,10845.29,1,5,"mid"
"75",12436,99,3,1,1,553.56,1,5,"mid"
"76",12437,1,4,19,2,6098.85,1,7,"mid"
"77",12438,14,4,2,1,3409.93,1,6,"mid"
"78",12441,366,1,1,1,220.05,1,3,"low"
"79",12442,3,4,1,1,172.06,1,6,"mid"
"80",12444,21,4,5,1,5738.64,1,6,"mid"
"81",12445,22,4,1,1,150.8,1,6,"mid"
"82",12446,57,3,1,1,1369.25,1,5,"mid"
"83",12447,243,2,1,1,506.19,1,4,"low"
"84",12448,44,4,1,1,461.38,1,6,"mid"
"85",12449,22,4,4,1,4780.03,1,6,"mid"
"86",12450,156,2,2,1,485.58,1,4,"low"
"87",12451,10,4,6,1,10066.49,1,6,"mid"
"88",12452,16,4,3,1,567.25,1,6,"mid"
"89",12453,134,2,1,1,890.21,1,4,"low"
"90",12454,53,3,2,1,0,1,5,"mid"
"91",12455,73,3,6,1,3293.7,1,5,"mid"
"92",12456,44,4,4,1,3986.47,1,6,"mid"
"93",12457,58,3,12,2,2189.81,1,6,"mid"
"94",12458,71,3,2,1,1012.26,1,5,"mid"
"95",12461,94,3,2,1,904.26,1,5,"mid"
"96",12462,2,4,4,1,1219.41,1,6,"mid"
"97",12463,46,4,7,2,1607.48,1,7,"mid"
"98",12464,10,4,8,2,1365.05,1,7,"mid"
"99",12465,7,4,3,1,854.59,1,6,"mid"
"100",12468,143,2,3,1,851.09,1,4,"low"
"101",12471,2,4,49,3,22112.8,2,9,"high"
"102",12472,30,4,13,2,8465.12,1,7,"mid"
"103",12473,29,4,9,2,3332.78,1,7,"mid"
"104",12474,17,4,30,3,8884.76,1,8,"high"
"105",12475,53,3,1,1,854.78,1,5,"mid"
"106",12476,1,4,20,2,7958.53,1,7,"mid"
"107",12477,22,4,9,2,14465.66,2,8,"high"
"108",12478,3,4,1,1,837.57,1,6,"mid"
"109",12479,3,4,3,1,534.64,1,6,"mid"
"110",12480,28,4,4,1,3737.69,1,6,"mid"
"111",12481,22,4,11,2,7395.32,1,7,"mid"
"112",12483,17,4,13,2,4052.79,1,7,"mid"
"113",12484,32,4,8,2,5192.11,1,7,"mid"
"114",12488,9,4,3,1,1899.36,1,6,"mid"
"115",12489,336,1,1,1,449.08,1,3,"low"
"116",12490,5,4,10,2,8888.33,1,7,"mid"
"117",12491,38,4,1,1,536.8,1,6,"mid"
"118",12492,63,3,2,1,293.21,1,5,"mid"
"119",12493,165,2,3,1,649.05,1,4,"low"
"120",12494,9,4,13,2,1582.68,1,7,"mid"
"121",12497,81,3,1,1,1194.6,1,5,"mid"
"122",12498,21,4,3,1,412.2,1,6,"mid"
"123",12500,23,4,13,2,5652.47,1,7,"mid"
"124",12501,315,1,2,1,2356.25,1,3,"low"
"125",12502,95,3,5,1,4299.52,1,5,"mid"
"126",12503,337,1,1,1,-1126,1,3,"low"
"127",12504,18,4,4,1,114,1,6,"mid"
"128",12505,301,1,1,1,-4.5,1,3,"low"
"129",12506,232,2,1,1,85.4,1,4,"low"
"130",12507,134,2,4,1,1258.06,1,4,"low"
"131",12508,26,4,2,1,467,1,6,"mid"
"132",12509,284,1,1,1,284,1,3,"low"
"133",12510,142,2,2,1,1081.07,1,4,"low"
"134",12512,66,3,2,1,170.23,1,5,"mid"
"135",12513,84,3,2,1,626.79,1,5,"mid"
"136",12514,267,1,1,1,1141.68,1,3,"low"
"137",12515,353,1,1,1,383.7,1,3,"low"
"138",12516,77,3,2,1,1856.54,1,5,"mid"
"139",12517,28,4,6,1,2765.19,1,6,"mid"
"140",12518,0,4,5,1,2632.25,1,6,"mid"
"141",12519,63,3,1,1,355.84,1,5,"mid"
"142",12520,79,3,6,1,2960.09,1,5,"mid"
"143",12521,142,2,1,1,760.88,1,4,"low"
"144",12522,39,4,2,1,210.06,1,6,"mid"
"145",12523,1,4,13,2,2158.17,1,7,"mid"
"146",12524,9,4,8,2,4837.62,1,7,"mid"
"147",12526,0,4,3,1,1664.24,1,6,"mid"
"148",12527,81,3,3,1,348.71,1,5,"mid"
"149",12528,9,4,8,2,2125.13,1,7,"mid"
"150",12530,59,3,5,1,2187.07,1,5,"mid"
"151",12531,14,4,1,1,150.18,1,6,"mid"
"152",12532,30,4,1,1,375.03,1,6,"mid"
"153",12534,130,3,1,1,1202.65,1,5,"mid"
"154",12535,91,3,2,1,795.15,1,5,"mid"
"155",12536,7,4,5,1,4514.54,1,6,"mid"
"156",12538,29,4,1,1,458.45,1,6,"mid"
"157",12539,22,4,5,1,4227.2,1,6,"mid"
"158",12540,19,4,19,2,15693.42,2,8,"high"
"159",12541,29,4,3,1,1148.52,1,6,"mid"
"160",12544,29,4,2,1,436.36,1,6,"mid"
"161",12545,75,3,2,1,1038.19,1,5,"mid"
"162",12546,46,4,3,1,1206.62,1,6,"mid"
"163",12547,197,2,2,1,297.8,1,4,"low"
"164",12548,166,2,1,1,95.2,1,4,"low"
"165",12550,79,3,1,1,1067.76,1,5,"mid"
"166",12551,357,1,1,1,187.5,1,3,"low"
"167",12552,38,4,2,1,471.14,1,6,"mid"
"168",12553,8,4,14,2,4906.23,1,7,"mid"
"169",12556,50,3,2,1,821.84,1,5,"mid"
"170",12557,16,4,5,1,21817.66,2,7,"mid"
"171",12558,1,4,2,1,0,1,6,"mid"
"172",12559,310,1,3,1,544.91,1,3,"low"
"173",12560,5,4,4,1,2530.31,1,6,"mid"
"174",12561,302,1,1,1,238.85,1,3,"low"
"175",12562,8,4,7,2,6597.26,1,7,"mid"
"176",12564,261,1,1,1,473.4,1,3,"low"
"177",12565,281,1,2,1,136.21,1,3,"low"
"178",12566,72,3,2,1,425.38,1,5,"mid"
"179",12567,22,4,11,2,10474.69,1,7,"mid"
"180",12569,2,4,35,3,4460.69,1,8,"high"
"181",12571,39,4,2,1,529.81,1,6,"mid"
"182",12572,8,4,3,1,1090.84,1,6,"mid"
"183",12573,227,2,1,1,248.56,1,4,"low"
"184",12574,315,1,1,1,218.45,1,3,"low"
"185",12576,35,4,6,1,1483.38,1,6,"mid"
"186",12577,35,4,4,1,684.7,1,6,"mid"
"187",12578,21,4,4,1,3029.84,1,6,"mid"
"188",12579,73,3,3,1,456.62,1,5,"mid"
"189",12580,246,2,1,1,475.1,1,4,"low"
"190",12581,39,4,1,1,207.67,1,6,"mid"
"191",12582,238,2,2,1,586.08,1,4,"low"
"192",12583,2,4,18,2,8749.91,1,7,"mid"
"193",12584,3,4,18,2,2321.35,1,7,"mid"
"194",12585,234,2,4,1,2389.13,1,4,"low"
"195",12586,17,4,2,1,215.34,1,6,"mid"
"196",12587,7,4,1,1,289.6,1,6,"mid"
"197",12588,39,4,1,1,247.75,1,6,"mid"
"198",12589,28,4,2,1,646.68,1,6,"mid"
"199",12590,190,2,3,1,11252.94,1,4,"low"
"200",12591,317,1,1,1,500.9,1,3,"low"
"201",12592,92,3,2,1,461,1,5,"mid"
"202",12593,108,3,3,1,457.6,1,5,"mid"
"203",12594,37,4,11,2,4619.6,1,7,"mid"
"204",12596,51,3,2,1,738.11,1,5,"mid"
"205",12597,19,4,5,1,4539.8,1,6,"mid"
"206",12598,9,4,9,2,3823.8,1,7,"mid"
"207",12599,29,4,7,2,1092.58,1,7,"mid"
"208",12600,28,4,11,2,2795.52,1,7,"mid"
"209",12601,189,2,6,1,667.4,1,4,"low"
"210",12602,58,3,1,1,188.92,1,5,"mid"
"211",12603,21,4,1,1,739.2,1,6,"mid"
"212",12604,79,3,2,1,254.18,1,5,"mid"
"213",12605,365,1,1,1,-7.5,1,3,"low"
"214",12607,58,3,2,1,0,1,5,"mid"
"215",12609,78,3,3,1,1326.01,1,5,"mid"
"216",12610,22,4,7,2,2375.69,1,7,"mid"
"217",12611,52,3,1,1,1262.45,1,5,"mid"
"218",12612,57,3,2,1,643.59,1,5,"mid"
"219",12613,31,4,6,1,4179.07,1,6,"mid"
"220",12614,277,1,1,1,444.55,1,3,"low"
"221",12615,2,4,4,1,3900.45,1,6,"mid"
"222",12616,85,3,5,1,682.25,1,5,"mid"
"223",12617,29,4,1,1,424.71,1,6,"mid"
"224",12618,21,4,1,1,187.51,1,6,"mid"
"225",12619,16,4,13,2,3590.61,1,7,"mid"
"226",12620,14,4,3,1,1613.02,1,6,"mid"
"227",12621,1,4,23,2,16574.05,2,8,"high"
"228",12622,232,2,1,1,190.3,1,4,"low"
"229",12623,276,1,1,1,324.9,1,3,"low"
"230",12624,106,3,2,1,713.13,1,5,"mid"
"231",12625,211,2,3,1,3153.96,1,4,"low"
"232",12626,23,4,13,2,7808.71,1,7,"mid"
"233",12627,10,4,7,2,5199.91,1,7,"mid"
"234",12628,4,4,4,1,898.29,1,6,"mid"
"235",12630,9,4,2,1,1456.64,1,6,"mid"
"236",12631,57,3,1,1,914.42,1,5,"mid"
"237",12633,58,3,5,1,2398.93,1,5,"mid"
"238",12635,89,3,2,1,2094.09,1,5,"mid"
"239",12637,67,3,10,2,6616.54,1,6,"mid"
"240",12638,33,4,1,1,904.85,1,6,"mid"
"241",12639,238,2,1,1,528.55,1,4,"low"
"242",12640,23,4,3,1,1375.53,1,6,"mid"
"243",12641,115,3,1,1,216.5,1,5,"mid"
"244",12642,25,4,3,1,1186.27,1,6,"mid"
"245",12643,128,3,6,1,3344.64,1,5,"mid"
"246",12644,129,3,1,1,575.76,1,5,"mid"
"247",12645,33,4,5,1,1950.14,1,6,"mid"
"248",12646,4,4,2,1,1638.55,1,6,"mid"
"249",12647,22,4,13,2,3834.17,1,7,"mid"
"250",12648,154,2,1,1,351.25,1,4,"low"
"251",12649,107,3,4,1,902,1,5,"mid"
"252",12650,3,4,1,1,338.54,1,6,"mid"
"253",12651,334,1,1,1,114,1,3,"low"
"254",12652,322,1,2,1,1012.51,1,3,"low"
"255",12653,148,2,2,1,3074.53,1,4,"low"
"256",12654,10,4,5,1,711.66,1,6,"mid"
"257",12656,17,4,8,2,4515.58,1,7,"mid"
"258",12657,11,4,5,1,1336.36,1,6,"mid"
"259",12658,18,4,1,1,826.09,1,6,"mid"
"260",12659,29,4,1,1,149.76,1,6,"mid"
"261",12660,11,4,1,1,245.1,1,6,"mid"
"262",12662,0,4,12,2,4436.22,1,7,"mid"
"263",12664,8,4,10,2,9262.06,1,7,"mid"
"264",12665,324,1,2,1,91.75,1,3,"low"
"265",12666,359,1,1,1,-227.44,1,3,"low"
"266",12667,58,3,1,1,676.41,1,5,"mid"
"267",12668,7,4,6,1,4145.6,1,6,"mid"
"268",12669,150,2,4,1,1708.66,1,4,"low"
"269",12670,10,4,6,1,4497.31,1,6,"mid"
"270",12672,329,1,1,1,236.1,1,3,"low"
"271",12673,5,4,2,1,649.02,1,6,"mid"
"272",12674,11,4,7,2,3046.87,1,7,"mid"
"273",12676,24,4,6,1,1510.67,1,6,"mid"
"274",12678,42,4,13,2,36728.18,2,8,"high"
"275",12679,52,3,9,2,1395.1,1,6,"mid"
"276",12680,0,4,4,1,929.21,1,6,"mid"
"277",12681,14,4,27,3,19456.8,2,9,"high"
"278",12682,3,4,31,3,24267.89,2,9,"high"
"279",12683,4,4,20,2,9485.72,1,7,"mid"
"280",12684,7,4,7,2,2444.83,1,7,"mid"
"281",12685,28,4,6,1,3688.72,1,6,"mid"
"282",12686,371,1,1,1,89.14,1,3,"low"
"283",12688,113,3,1,1,5661.41,1,5,"mid"
"284",12689,25,4,2,1,1616.07,1,6,"mid"
"285",12690,205,2,1,1,618.27,1,4,"low"
"286",12691,28,4,6,1,1433.8,1,6,"mid"
"287",12693,120,3,6,1,950.96,1,5,"mid"
"288",12694,70,3,2,1,939.42,1,5,"mid"
"289",12695,7,4,4,1,674,1,6,"mid"
"290",12697,21,4,5,1,1087.52,1,6,"mid"
"291",12700,7,4,6,1,6422.07,1,6,"mid"
"292",12701,79,3,2,1,912.63,1,5,"mid"
"293",12702,19,4,1,1,219,1,6,"mid"
"294",12703,64,3,2,1,293.75,1,5,"mid"
"295",12704,7,4,10,2,4104.44,1,7,"mid"
"296",12705,15,4,14,2,7911.59,1,7,"mid"
"297",12707,291,1,1,1,643.62,1,3,"low"
"298",12708,29,4,16,2,2912.53,1,7,"mid"
"299",12709,3,4,26,3,10221.54,1,8,"high"
"300",12710,96,3,4,1,1210.77,1,5,"mid"
"301",12712,22,4,17,2,4751.33,1,7,"mid"
"302",12713,0,4,1,1,1045.34,1,6,"mid"
"303",12714,9,4,5,1,6235.61,1,6,"mid"
"304",12715,106,3,1,1,457.86,1,5,"mid"
"305",12716,3,4,2,1,1152.06,1,6,"mid"
"306",12717,151,2,3,1,1126.66,1,4,"low"
"307",12718,71,3,1,1,260.33,1,5,"mid"
"308",12719,5,4,3,1,645.5,1,6,"mid"
"309",12720,2,4,29,3,6649.09,1,8,"high"
"310",12721,31,4,7,2,3225.68,1,7,"mid"
"311",12722,85,3,6,1,1199.17,1,5,"mid"
"312",12723,3,4,5,1,950.27,1,6,"mid"
"313",12724,5,4,4,1,1680.96,1,6,"mid"
"314",12725,371,1,1,1,599.8,1,3,"low"
"315",12726,28,4,7,2,2854.2,1,7,"mid"
"316",12727,10,4,9,2,4485.74,1,7,"mid"
"317",12728,71,3,4,1,994.43,1,5,"mid"
"318",12729,113,3,1,1,486.21,1,5,"mid"
"319",12731,23,4,14,2,22963.13,2,8,"high"
"320",12732,179,2,1,1,316.18,1,4,"low"
"321",12733,234,2,1,1,429.55,1,4,"low"
"322",12734,352,1,1,1,110.4,1,3,"low"
"323",12735,315,1,2,1,846.37,1,3,"low"
"324",12736,333,1,1,1,234,1,3,"low"
"325",12738,372,1,1,1,165.3,1,3,"low"
"326",12739,78,3,2,1,1087.32,1,5,"mid"
"327",12740,63,3,1,1,491.4,1,5,"mid"
"328",12743,134,2,2,1,667.15,1,4,"low"
"329",12744,51,3,10,2,12565.07,2,7,"mid"
"330",12747,2,4,11,2,5553.07,1,7,"mid"
"331",12748,0,4,224,4,36280.78,2,10,"high"
"332",12749,3,4,8,2,4803.46,1,7,"mid"
"333",12750,128,3,1,1,346.68,1,5,"mid"
"334",12752,81,3,1,1,5792.9,1,5,"mid"
"335",12753,3,4,11,2,25605.65,2,8,"high"
"336",12754,235,2,5,1,2953.89,1,4,"low"
"337",12755,249,1,4,1,2213.15,1,3,"low"
"338",12756,86,3,1,1,112.08,1,5,"mid"
"339",12757,15,4,19,2,6079.05,1,7,"mid"
"340",12758,116,3,2,1,3748.25,1,5,"mid"
"341",12759,52,3,3,1,1866.14,1,5,"mid"
"342",12762,7,4,2,1,3140.4,1,6,"mid"
"343",12763,138,2,2,1,499.12,1,4,"low"
"344",12764,316,1,1,1,1862.88,1,3,"low"
"345",12766,3,4,7,2,8045.39,1,7,"mid"
"346",12769,238,2,1,1,1219.2,1,4,"low"
"347",12770,210,2,1,1,1351.45,1,4,"low"
"348",12772,59,3,1,1,982.83,1,5,"mid"
"349",12775,17,4,6,1,1739.51,1,6,"mid"
"350",12778,19,4,7,2,948.17,1,7,"mid"
"351",12779,21,4,12,2,4172.93,1,7,"mid"
"352",12781,21,4,5,1,789.32,1,6,"mid"
"353",12782,4,4,6,1,2816.98,1,6,"mid"
"354",12783,2,4,8,2,1937.97,1,7,"mid"
"355",12784,9,4,2,1,832.64,1,6,"mid"
"356",12785,2,4,2,1,341.71,1,6,"mid"
"357",12787,9,4,3,1,526.06,1,6,"mid"
"358",12789,65,3,1,1,91.85,1,5,"mid"
"359",12790,192,2,1,1,344.82,1,4,"low"
"360",12791,373,1,1,1,192.6,1,3,"low"
"361",12792,256,1,1,1,458.44,1,3,"low"
"362",12793,334,1,2,1,644.98,1,3,"low"
"363",12794,53,3,2,1,935.71,1,5,"mid"
"364",12795,18,4,1,1,505.36,1,6,"mid"
"365",12797,360,1,3,1,224.18,1,3,"low"
"366",12798,10,4,3,1,42290.16,2,7,"mid"
"367",12802,183,2,2,1,432.38,1,4,"low"
"368",12808,36,4,3,1,516.85,1,6,"mid"
"369",12809,168,2,2,1,549.46,1,4,"low"
"370",12811,260,1,3,1,554.25,1,3,"low"
"371",12812,44,4,1,1,229.64,1,6,"mid"
"372",12814,101,3,1,1,641.44,1,5,"mid"
"373",12815,147,2,2,1,1147.76,1,4,"low"
"374",12816,95,3,2,1,602.8,1,5,"mid"
"375",12817,281,1,1,1,193.08,1,3,"low"
"376",12818,178,2,2,1,1820.28,1,4,"low"
"377",12820,3,4,4,1,1309.06,1,6,"mid"
"378",12821,214,2,1,1,122.84,1,4,"low"
"379",12822,70,3,3,1,1071.18,1,5,"mid"
"380",12823,74,3,5,1,1759.5,1,5,"mid"
"381",12824,59,3,1,1,486.74,1,5,"mid"
"382",12826,2,4,8,2,1892.32,1,7,"mid"
"383",12827,5,4,3,1,444.65,1,6,"mid"
"384",12828,2,4,6,1,1069.71,1,6,"mid"
"385",12829,322,1,3,1,253.05,1,3,"low"
"386",12830,37,4,7,2,8194.72,1,7,"mid"
"387",12831,262,1,1,1,215.05,1,3,"low"
"388",12832,32,4,2,1,583.06,1,6,"mid"
"389",12833,145,2,1,1,531.2,1,4,"low"
"390",12834,282,1,1,1,487.38,1,3,"low"
"391",12836,59,3,4,1,3413.72,1,5,"mid"
"392",12837,173,2,1,1,148.7,1,4,"low"
"393",12838,33,4,2,1,769.75,1,6,"mid"
"394",12839,2,4,16,2,7407.33,1,7,"mid"
"395",12840,143,2,6,1,3037.27,1,4,"low"
"396",12841,4,4,26,3,4463.36,1,8,"high"
"397",12842,70,3,2,1,1692.13,1,5,"mid"
"398",12843,65,3,9,2,2218.49,1,6,"mid"
"399",12844,29,4,2,1,477.33,1,6,"mid"
"400",12845,267,1,4,1,355.34,1,3,"low"
"401",12847,22,4,1,1,957.64,1,6,"mid"
"402",12849,31,4,2,1,1320.99,1,6,"mid"
"403",12851,96,3,1,1,187.97,1,5,"mid"
"404",12852,290,1,2,1,339.05,1,3,"low"
"405",12853,107,3,9,2,2173.35,1,6,"mid"
"406",12854,78,3,5,1,1649.4,1,5,"mid"
"407",12855,372,1,1,1,38.1,1,3,"low"
"408",12856,7,4,8,2,2818.57,1,7,"mid"
"409",12857,210,2,2,1,1262.45,1,4,"low"
"410",12863,52,3,2,1,576.2,1,5,"mid"
"411",12864,138,2,1,1,147.12,1,4,"low"
"412",12865,26,4,3,1,1988.97,1,6,"mid"
"413",12866,283,1,1,1,646.57,1,3,"low"
"414",12867,26,4,10,2,5673.41,1,7,"mid"
"415",12868,185,2,6,1,1909.96,1,4,"low"
"416",12870,366,1,1,1,-14.9,1,3,"low"
"417",12871,84,3,2,1,951.24,1,5,"mid"
"418",12872,326,1,2,1,868.14,1,3,"low"
"419",12873,282,1,1,1,510,1,3,"low"
"420",12875,143,2,2,1,343.23,1,4,"low"
"421",12876,57,3,2,1,2443.62,1,5,"mid"
"422",12877,3,4,12,2,2048.33,1,7,"mid"
"423",12878,18,4,3,1,889.84,1,6,"mid"
"424",12879,44,4,4,1,571.53,1,6,"mid"
"425",12881,275,1,1,1,298,1,3,"low"
"426",12882,9,4,2,1,1552.44,1,6,"mid"
"427",12883,24,4,4,1,987.18,1,6,"mid"
"428",12884,88,3,1,1,329.85,1,5,"mid"
"429",12885,63,3,4,1,1389.23,1,5,"mid"
"430",12886,67,3,3,1,1487.63,1,5,"mid"
"431",12888,214,2,4,1,313.77,1,4,"low"
"432",12890,24,4,1,1,535.19,1,6,"mid"
"433",12891,185,2,3,1,331,1,4,"low"
"434",12893,30,4,1,1,243.01,1,6,"mid"
"435",12895,42,4,3,1,355.8,1,6,"mid"
"436",12897,204,2,2,1,246.2,1,4,"low"
"437",12901,8,4,36,3,16536.1,2,9,"high"
"438",12902,264,1,1,1,155.63,1,3,"low"
"439",12904,18,4,2,1,742.61,1,6,"mid"
"440",12906,11,4,5,1,3869.33,1,6,"mid"
"441",12908,58,3,4,1,246,1,5,"mid"
"442",12909,39,4,8,2,2404.63,1,7,"mid"
"443",12910,23,4,8,2,4195,1,7,"mid"
"444",12912,2,4,5,1,4208.94,1,6,"mid"
"445",12913,4,4,5,1,3083.87,1,6,"mid"
"446",12915,148,2,2,1,435.1,1,4,"low"
"447",12916,138,2,5,1,4572.82,1,4,"low"
"448",12917,128,3,1,1,594,1,5,"mid"
"449",12919,8,4,8,2,1395.06,1,7,"mid"
"450",12920,17,4,1,1,211.33,1,6,"mid"
"451",12921,3,4,50,3,23464.93,2,9,"high"
"452",12922,161,2,1,1,459.98,1,4,"low"
"453",12923,64,3,1,1,215.92,1,5,"mid"
"454",12924,88,3,5,1,1248.5,1,5,"mid"
"455",12925,4,4,2,1,895.87,1,6,"mid"
"456",12928,35,4,5,1,2519.1,1,6,"mid"
"457",12929,122,3,2,1,105.1,1,5,"mid"
"458",12930,78,3,4,1,561.22,1,5,"mid"
"459",12931,21,4,20,2,59516.99,3,9,"high"
"460",12933,24,4,4,1,671.63,1,6,"mid"
"461",12935,2,4,8,2,2437.45,1,7,"mid"
"462",12936,17,4,5,1,1228.34,1,6,"mid"
"463",12937,15,4,4,1,2200.29,1,6,"mid"
"464",12938,25,4,1,1,194.14,1,6,"mid"
"465",12939,64,3,8,2,14918.76,2,7,"mid"
"466",12940,46,4,4,1,1052.31,1,6,"mid"
"467",12942,131,3,3,1,831.24,1,5,"mid"
"468",12943,301,1,1,1,-3.75,1,3,"low"
"469",12944,35,4,2,1,749.39,1,6,"mid"
"470",12945,288,1,1,1,535.95,1,3,"low"
"471",12947,143,2,11,2,1595.87,1,5,"mid"
"472",12948,16,4,8,2,2565.3,1,7,"mid"
"473",12949,30,4,10,2,5371.34,1,7,"mid"
"474",12950,2,4,3,1,1932,1,6,"mid"
"475",12951,8,4,8,2,1472.7,1,7,"mid"
"476",12952,5,4,5,1,1696.86,1,6,"mid"
"477",12953,9,4,1,1,455.55,1,6,"mid"
"478",12955,1,4,14,2,5436.12,1,7,"mid"
"479",12956,306,1,1,1,131.64,1,3,"low"
"480",12957,4,4,12,2,4753.07,1,7,"mid"
"481",12962,7,4,2,1,426.15,1,6,"mid"
"482",12963,8,4,9,2,2553.76,1,7,"mid"
"483",12965,89,3,1,1,889.71,1,5,"mid"
"484",12966,9,4,1,1,177.88,1,6,"mid"
"485",12967,3,4,4,1,1419.75,1,6,"mid"
"486",12968,112,3,1,1,170.75,1,5,"mid"
"487",12970,7,4,4,1,709.02,1,6,"mid"
"488",12971,3,4,89,3,13198.06,2,9,"high"
"489",12974,197,2,1,1,144.8,1,4,"low"
"490",12976,211,2,1,1,771.6,1,4,"low"
"491",12977,156,2,1,1,39.24,1,4,"low"
"492",12980,155,2,12,2,8064.99,1,5,"mid"
"493",12981,29,4,2,1,696.7,1,6,"mid"
"494",12982,239,2,2,1,469.52,1,4,"low"
"495",12984,18,4,1,1,137.1,1,6,"mid"
"496",12985,0,4,3,1,1539.02,1,6,"mid"
"497",12987,73,3,3,1,741,1,5,"mid"
"498",12988,292,1,1,1,648.64,1,3,"low"
"499",12989,3,4,19,2,7837.13,1,7,"mid"
"500",12990,31,4,3,1,449.8,1,6,"mid"
"501",12991,23,4,2,1,787.66,1,6,"mid"
"502",12993,23,4,4,1,454.92,1,6,"mid"
"503",12994,4,4,5,1,1004.82,1,6,"mid"
"504",12995,77,3,2,1,200.72,1,5,"mid"
"505",12997,22,4,7,2,1793.31,1,7,"mid"
"506",12999,196,2,3,1,455.88,1,4,"low"
"507",13000,106,3,3,1,704.77,1,5,"mid"
"508",13001,4,4,15,2,11524.12,2,8,"high"
"509",13002,318,1,1,1,150.7,1,3,"low"
"510",13003,105,3,3,1,289.45,1,5,"mid"
"511",13004,11,4,22,2,7029.38,1,7,"mid"
"512",13005,173,2,3,1,563.85,1,4,"low"
"513",13006,56,3,1,1,81.57,1,5,"mid"
